acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),41042.2000002861,I,z,1085,,,3,yes,1,2611.300000190735,38430.90000009537,practrial3.png,practrial3.png,12,PC,A,,,1
2,1,0.0,prac,1,m,30000.0,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),43242.09999990463,I,m,657,,,4,no,1,2191.199999809265,41050.90000009537,practrial4.png,practrial4b.png,12,PC,A,,,2
3,1,0.0,prac,1,m,30000.0,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),45825.2000002861,I,m,1049,,,2,no,1,2574.1000003814697,43251.09999990463,practrial2.png,practrial2b.png,12,PC,A,,,3
4,1,0.0,prac,1,z,30000.0,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),48275.300000190735,I,z,915,,,1,yes,1,2442.0999999046326,45833.2000002861,practrial1.png,practrial1.png,12,PC,A,,,4
5,1,0.0,prac,1,m,30000.0,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),51458.59999990463,I,m,1657,,,6,no,1,3174.8999996185303,48283.7000002861,practrial6.png,practrial6b.png,12,PC,A,,,5
6,1,0.0,prac,1,z,30000.0,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),54091.90000009537,I,z,1106,,,5,yes,1,2625.4000000953674,51466.5,practrial5.png,practrial5.png,12,PC,A,,,6
1,1,2.299999952316284,test,1,z,27700.000047683716,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),64358.90000009537,I,z,2284,2284,,1,yes,1,2293.800000190735,62065.09999990463,test1trial1.png,test1trial1.png,12,PC,A,49956,,1
2,1,3.3499999046325684,test,1,m,26650.00009536743,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),65409.0,I,m,1031,1031,,2,no,1,1043.4000000953674,64365.59999990463,test1trial2.png,test1trial2b.png,12,PC,A,52257,,2
3,1,5.25,test,1,z,24750.0,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),67308.59999990463,I,z,1884,1884,,3,yes,1,1892.0999999046326,65416.5,test1trial3.png,test1trial3.png,12,PC,A,53307,,3
4,1,7.132999897003174,test,1,m,22867.000102996826,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),69192.0,I,m,1867,1867,,4,no,1,1870.4000000953674,67321.59999990463,test1trial4.png,test1trial4b.png,12,PC,A,55213,,4
5,1,8.899999856948853,test,1,z,21100.000143051147,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),70958.40000009537,I,z,1758,1758,,5,yes,1,1759.4000000953674,69199.0,test1trial5.png,test1trial5.png,12,PC,A,57090,,5
6,1,10.283999919891357,test,1,m,19716.000080108643,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),72342.09999990463,I,m,1360,1360,,6,no,1,1376.7999997138977,70965.30000019073,test1trial6.png,test1trial6b.png,12,PC,A,58856,,6
7,1,11.666999816894531,test,1,z,18333.00018310547,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),73725.30000019073,I,z,1368,1368,,7,yes,1,1375.7000002861023,72349.59999990463,test1trial7.png,test1trial7.png,12,PC,A,60240,,7
8,1,14.5,test,1,m,15500.0,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),76558.59999990463,I,m,2817,2817,,8,no,1,2826.7999997138977,73731.80000019073,test1trial8.png,test1trial8b.png,12,PC,A,61623,,8
9,1,16.08399987220764,test,1,z,13916.000127792358,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),78141.90000009537,I,z,1568,1568,,9,yes,1,1576.8000001907349,76565.09999990463,test1trial9.png,test1trial9.png,12,PC,A,64456,,9
10,1,17.383999824523926,test,1,m,12616.000175476074,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),79442.0,I,m,1288,1288,,10,no,1,1293.2999997138977,78148.7000002861,test1trial10.png,test1trial10b.png,12,PC,A,66040,,10
11,1,18.899999856948853,test,1,z,11100.000143051147,Tue Nov 05 2024 17:04:39 GMT-0500 (Eastern Standard Time),80958.5,I,z,1509,1509,,11,yes,1,1509.9000000953674,79448.59999990463,test1trial11.png,test1trial11.png,12,PC,A,67339,,11
