acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),74911.69999998808,O,z,1751,,,1,yes,1,3286.5,71625.19999998808,practrial1.png,practrial1.png,7012,PC,C,,,1
2,1,0.0,prac,1,z,30000.0,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),77427.5,O,z,975,,,3,yes,1,2496.5,74931.0,practrial3.png,practrial3.png,7012,PC,C,,,2
3,1,0.0,prac,1,m,30000.0,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),80443.09999996424,O,m,1469,,,4,no,1,2999.699999988079,77443.39999997616,practrial4.png,practrial4b.png,7012,PC,C,,,3
4,1,0.0,prac,1,z,30000.0,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),83292.0,O,z,1301,,,5,yes,1,2832.0,80460.0,practrial5.png,practrial5.png,7012,PC,C,,,4
5,1,0.0,prac,1,m,30000.0,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),85757.89999997616,O,m,924,,,2,no,1,2449.199999988079,83308.69999998808,practrial2.png,practrial2b.png,7012,PC,C,,,5
6,1,0.0,prac,1,m,30000.0,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),88523.59999996424,O,m,1219,,,6,no,1,2749.2999999523163,85774.30000001192,practrial6.png,practrial6b.png,7012,PC,C,,,6
1,1,2.450000047683716,test,1,z,27549.999952316284,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),108350.89999997616,O,z,2433,2433,,1,yes,1,2444.899999976158,105906.0,test1trial1.png,test1trial1.png,7012,PC,C,99342,,1
2,1,3.5999999046325684,test,1,m,26400.00009536743,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),109500.89999997616,O,m,1135,1135,,2,no,1,1138.699999988079,108362.19999998808,test1trial2.png,test1trial2b.png,7012,PC,C,101800,,2
3,1,5.065999984741211,test,1,z,24934.00001525879,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),110966.30000001192,O,z,1450,1450,,3,yes,1,1454.2000000476837,109512.09999996424,test1trial3.png,test1trial3.png,7012,PC,C,102949,,3
4,1,6.431999921798706,test,1,m,23568.000078201294,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),112332.5,O,m,1343,1343,,4,no,1,1355.199999988079,110977.30000001192,test1trial4.png,test1trial4b.png,7012,PC,C,104416,,4
5,1,7.832000017166138,test,1,z,22167.999982833862,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),113732.59999996424,O,z,1387,1387,,5,yes,1,1389.5999999642372,112343.0,test1trial5.png,test1trial5.png,7012,PC,C,105780,,5
6,1,8.94700002670288,test,1,m,21052.99997329712,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),114847.89999997616,O,m,1088,1088,,6,no,1,1104.199999988079,113743.69999998808,test1trial6.png,test1trial6b.png,7012,PC,C,107182,,6
7,1,10.118000030517578,test,1,z,19881.999969482422,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),116014.59999996424,O,z,1151,1151,,7,yes,1,1162.3999999761581,114852.19999998808,test1trial7.png,test1trial7.png,7012,PC,C,108288,,7
8,1,12.08299994468689,test,1,m,17917.00005531311,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),117980.59999996424,O,m,1952,1952,,8,no,1,1955.2999999523163,116025.30000001192,test1trial8.png,test1trial8b.png,7012,PC,C,109463,,8
9,1,13.615999937057495,test,1,z,16384.000062942505,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),119513.5,O,z,1506,1506,,9,yes,1,1522.1000000238419,117991.39999997616,test1trial9.png,test1trial9.png,7012,PC,C,111429,,9
10,1,14.565999984741211,test,1,m,15434.000015258789,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),120463.09999996424,O,m,925,925,,10,no,1,939.0,119524.09999996424,test1trial10.png,test1trial10b.png,7012,PC,C,112962,,10
11,1,15.615999937057495,test,1,z,14384.000062942505,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),121512.89999997616,O,z,1030,1030,,11,yes,1,1037.0999999642372,120475.80000001192,test1trial11.png,test1trial11.png,7012,PC,C,113913,,11
12,1,17.747999906539917,test,1,m,12252.000093460083,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),123645.59999996424,O,m,2117,2117,,12,no,1,2122.0,121523.59999996424,test1trial12.png,test1trial12b.png,7012,PC,C,114962,,12
13,1,19.015000104904175,test,1,m,10984.999895095825,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),124911.69999998808,O,m,1247,1247,,13,no,1,1254.199999988079,123657.5,test1trial13.png,test1trial13b.png,7012,PC,C,117096,,13
14,1,20.19700002670288,test,1,m,9802.99997329712,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),126094.5,O,m,1167,1167,,14,no,1,1172.800000011921,124921.69999998808,test1trial14.png,test1trial14b.png,7012,PC,C,118360,,14
15,1,21.180000066757202,test,1,z,8819.999933242798,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),127077.59999996424,O,z,969,969,,15,yes,1,972.6999999880791,126104.89999997616,test1trial15.png,test1trial15.png,7012,PC,C,119542,,15
16,1,22.230000019073486,test,1,m,7769.999980926514,Thu Aug 29 2024 17:33:24 GMT-0500 (Central Daylight Time),128127.39999997616,O,m,1033,1033,,16,no,1,1039.800000011921,127087.59999996424,test1trial16.png,test1trial16b.png,7012,PC,C,120526,,16
