acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),57458.19999885559,I,m,1377,,,6,no,3,2908.699998855591,54549.5,practrial6.png,practrial6b.png,9002,PC,B,,,1
2,1,0.0,prac,1,z,30000.0,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),60607.89999961853,I,z,1613,,,3,yes,3,3140.800001144409,57467.09999847412,practrial3.png,practrial3.png,9002,PC,B,,,2
3,1,0.0,prac,1,m,30000.0,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),63491.5,I,m,1347,,,4,no,3,2878.7000007629395,60612.79999923706,practrial4.png,practrial4b.png,9002,PC,B,,,3
4,1,0.0,prac,1,z,30000.0,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),66491.39999961853,I,z,1467,,,1,yes,3,2989.2000007629395,63502.19999885559,practrial1.png,practrial1.png,9002,PC,B,,,4
5,1,0.0,prac,1,z,30000.0,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),69358.0,I,z,1324,,,5,yes,3,2853.400001525879,66504.59999847412,practrial5.png,practrial5.png,9002,PC,B,,,5
6,1,0.0,prac,1,m,30000.0,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),72308.09999847412,I,m,1410,,,2,no,3,2942.199998855591,69365.89999961853,practrial2.png,practrial2b.png,9002,PC,B,,,6
0,1,1.4500000476837158,test,0,z,28549.999952316284,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),84975.29999923706,I,m,1437,1437,,1,yes,3,1444.5,83530.79999923706,test1trial1.png,test1trial1.png,9002,PC,B,81324,,1
1,1,2.800999879837036,test,1,m,27199.000120162964,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),86325.39999961853,I,m,1327,1327,,2,no,3,1341.1000003814697,84984.29999923706,test1trial2.png,test1trial2b.png,9002,PC,B,82778,,2
2,1,3.882999897003174,test,1,z,26117.000102996826,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),87408.09999847412,I,z,1062,1062,,3,yes,3,1072.8999996185303,86335.19999885559,test1trial3.png,test1trial3.png,9002,PC,B,84131,,3
3,1,4.900000095367432,test,1,m,25099.99990463257,Fri Jan 17 2025 14:29:20 GMT-0500 (Eastern Standard Time),88425.19999885559,I,m,992,992,,4,no,3,1009.8999996185303,87415.29999923706,test1trial4.png,test1trial4b.png,9002,PC,B,85209,,4
